MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B19	Wind Onshore	IT	2019	100	9617.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	LT	2019	100	96.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	LT	2019	100	1710.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	LT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	LT	2019	100	900.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	LT	2019	100	128.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	LT	2019	100	140.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	LT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	LT	2019	100	82.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	LT	2019	100	21.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	LT	2019	100	525.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	LU	2019	100	30.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	LU	2019	100	81.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	LU	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	LU	2019	100	25.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	LU	2019	100	11.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	LU	2019	100	0.00	29-05-2024 00:00:00	
